please_enter_your_student_id,i_really_enjoyed_working_in_the_team,team_communication_was_highly_effective,team_communication_was_very_frequent,bonded_personally_as_well_as_professionally,we_tended_to_collaborate_together_on_the_same_tasks,work_on_separate_tasks_and_link_them_together_later_on,dev_my_profess_skills_as_a_result_of_the_team_project,my_approach_to_collab_as_a_result_of_the_team_project,adjust_the_project_regularly_as_we_went_along,we_stuck_to_our_original_project_plan,overall_i_am_pleased_with_our_end_result,things_that_you_felt_went_well,the_team_could_have_done_better,how_many_hours_per_week_outside_classes
3,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,Our supervisor was fantastic.  ,Not everyone on the team collaborated fully. ,10.0
4,,,,,,,,,,,,,,
5,3.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,Some team members were very involved in the work and worked well together,Some members of the team frequently missed team meetings and/or didn't contribute their fair share to the project,10.0
7,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,The zeal to work in meeting deadlines of submissions and VIVA,100% Communication was not contributed by all team members sometimes. i had to be the one that keeps pushing and motivating them.,8.0
8,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,,5.0
9,,,,,,,,,,,,,,
14,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Team collaboration was perfect.,We could attend online meetings instead of offline meetings.,6.0
18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,The team showed concerns in one another's personal struggles as well and tried to help as much as they could.,I felt the team could have showed even much better presentation skills.,6.0
22,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,We worked quite well together on trying to get the project done,One of the group members did not show up at all. He did not take calls or participated in the project.,3.0
24,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,"I feel we were able to worked well as a team, both acting individually with initiative, but also with compromise where necessary. We maximised our progress by utilising each members personal strengths, but also opened up areas to learn new skills as individuals ","I would have been helpful if our initial survey could have reached a wider audience, as this would have allowed us a more diverse and robust dataset to analyse. ",10.0
27,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,10.0
33,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,I ALSO UNDERSTAND  MY WEAKNESS AND STRENGTH,OUR ORIGINAL PROJECT WAS CHANGED AS ARESULT OF DATA,4.0
34,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,All went very nicely and smoothly ,Time consuming ,15.0
47,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
55,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,We worked well in our group and there was constant communication among us in our team,"what the team could have done better is by keeping to time each time we met to work on our project. During the time we always meet to work on our project, the team does not keep to time14",14.0
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,3.0
61,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,we were stick to original problem and outcome.,"if we would have invloved more ,the result we have achieved  would have been more effective .",4.0
68,,,,,,,,,,,,,,
70,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,"Although we had our differences, the team really worked together in making sure we achieved our objectives.","Well, being from different backgrounds came with its challenges. The team could have been more understanding about these differences and avoided some instances.",4.0
71,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,8.0
74,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,Team members prompt response to change all through the course of the project.,Nothing yet,14.0
75,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Effective communication and teamwork,"We could have done better, if other team members display same commitment in terms of time for deliberations and meetings.",2.0
78,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,gave me an opportunity to learn more about the data science process,module is bias towards people with data science backgrounds,10.0
81,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,It was great experience working in team,data was not available but we managed,10.0
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,i'm not happy with the project work at all,"the fact that everyones grade in the team has to be the same not considering the fact that some people didnt contribute well to the project


its queit annoying.",42.0
86,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,I learned about about open banking which I never had an idea about.,Our project management was a disaster. We were always behind our scheduled and it highly affected our project outcome ,1.5
89,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,The things I felt went well is even the collaborative of the isn’t that good. We still bring a good work and stuff like a professional work do.,Somehow I felt that the team are just complain things he didn’t know. But also they didn’t find a way to use their strengths in the work.,40.0
97,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
109,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,,,5.0
