"Please enter your student ID

We will use this to connect your data together, but will not share it or use it to identify you personally beyond the end of the study",Please reflect on your team's performance in the module - I really enjoyed working in the team,Please reflect on your team's performance in the module - Team communication was highly effective,Please reflect on your team's performance in the module - Team communication was very frequent,Please reflect on your team's performance in the module - We bonded personally as well as professionally,Please reflect on your team's performance in the module - We tended to collaborate together on the same tasks,Please reflect on your team's performance in the module - We tended to work on separate tasks and link them together later on,Please reflect on your team's performance in the module - I feel I have developed my professional skills as a result of the team project,Please reflect on your team's performance in the module - I feel I have developed my team working skills and my approach to collaboration as a result of the team project,Please reflect on your team's performance in the module - We adjusted the project regularly as we went along,Please reflect on your team's performance in the module - We stuck to our original project plan,"Please reflect on your team's performance in the module - Overall, I am pleased with our end result",Please add some further comments about things that you felt went well,Please add some further comments about things you felt did not go well or that the team could have done better,"On average over the term, how many hours per week outside of the timetabled classes do you think you spent on the project?"
3,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Our supervisor was fantastic.  ,Not everyone on the team collaborated fully. ,10.0
4,,,,,,,,,,,,,,
5,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Some team members were very involved in the work and worked well together,Some members of the team frequently missed team meetings and/or didn't contribute their fair share to the project,10.0
7,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,The zeal to work in meeting deadlines of submissions and VIVA,100% Communication was not contributed by all team members sometimes. i had to be the one that keeps pushing and motivating them.,8.0
8,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,5.0
9,,,,,,,,,,,,,,
14,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Team collaboration was perfect.,We could attend online meetings instead of offline meetings.,6.0
18,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The team showed concerns in one another's personal struggles as well and tried to help as much as they could.,I felt the team could have showed even much better presentation skills.,6.0
22,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,We worked quite well together on trying to get the project done,One of the group members did not show up at all. He did not take calls or participated in the project.,3.0
24,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,"I feel we were able to worked well as a team, both acting individually with initiative, but also with compromise where necessary. We maximised our progress by utilising each members personal strengths, but also opened up areas to learn new skills as individuals ","I would have been helpful if our initial survey could have reached a wider audience, as this would have allowed us a more diverse and robust dataset to analyse. ",10.0
27,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,10.0
33,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,I ALSO UNDERSTAND  MY WEAKNESS AND STRENGTH,OUR ORIGINAL PROJECT WAS CHANGED AS ARESULT OF DATA,4.0
34,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All went very nicely and smoothly ,Time consuming ,15.0
47,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
55,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,We worked well in our group and there was constant communication among us in our team,"what the team could have done better is by keeping to time each time we met to work on our project. During the time we always meet to work on our project, the team does not keep to time14",14.0
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,3.0
61,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,we were stick to original problem and outcome.,"if we would have invloved more ,the result we have achieved  would have been more effective .",4.0
68,,,,,,,,,,,,,,
70,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,"Although we had our differences, the team really worked together in making sure we achieved our objectives.","Well, being from different backgrounds came with its challenges. The team could have been more understanding about these differences and avoided some instances.",4.0
71,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,8.0
74,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Team members prompt response to change all through the course of the project.,Nothing yet,14.0
75,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Effective communication and teamwork,"We could have done better, if other team members display same commitment in terms of time for deliberations and meetings.",2.0
78,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,gave me an opportunity to learn more about the data science process,module is bias towards people with data science backgrounds,10.0
81,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,It was great experience working in team,data was not available but we managed,10.0
83,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,i'm not happy with the project work at all,"the fact that everyones grade in the team has to be the same not considering the fact that some people didnt contribute well to the project


its queit annoying.",42.0
86,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,I learned about about open banking which I never had an idea about.,Our project management was a disaster. We were always behind our scheduled and it highly affected our project outcome ,1.5
89,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,The things I felt went well is even the collaborative of the isn’t that good. We still bring a good work and stuff like a professional work do.,Somehow I felt that the team are just complain things he didn’t know. But also they didn’t find a way to use their strengths in the work.,40.0
97,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
109,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,5.0
