List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
Nigeria,1996,Male,,CAH07-02	Chemistry,3,INFORMATION AND COMMUNICATION,I have extensive experience of teamworking,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Diagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Diagree strongly,Agree moderately,Agree a little,Enough,A Lot,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,A Little,Not At All,Moderately,Not At All,Enough,A Lot,Moderately,Not At All
Nigeria,1990,Female,,CAH15-02	Economics,2,"ARTS, ENTERTAINMENT AND RECREATION",I have some experience,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree moderately,Diagree strongly,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Moderately,A Lot,Moderately,Not At All,Moderately,A Lot,Moderately,Not At All,Moderately,A Lot,Not At All,Not At All,Moderately,A Lot,Moderately,Not At All
Nigeria,1991,Male,,CAH15-02	Economics,6,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
Pakistan,1998,Male,,CAH17-01	Business and management,0,,I have some experience,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree a little,Disagree moderately,Agree strongly,Diagree strongly,Moderately,Enough,Moderately,A Very Little,Enough,Enough,A Very Little,A Little,Enough,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
Nigeria,1985,Male,,CAH10-01	Engineering,11,"TRANSPORTATION AND STORAGE,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,A Lot,Exactly,A Lot,A Lot,Enough,A Lot,Moderately,Not At All,A Lot,Enough,A Very Little,Not At All,Enough,Enough,Moderately,Moderately
Nigeria,1985,Male,,CAH11-01	Computing,10,"MANUFACTURING,INFORMATION AND COMMUNICATION,EDUCATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
United Kingdom of Great Britain and Northern Ireland,2001,Female,,"CAH07-04	General, applied and forensic sciences",5,"FINANCIAL AND INSURANCE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree a little,Agree strongly,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Diagree strongly,Diagree strongly,Agree a little,Enough,Enough,Exactly,A Little,Enough,Enough,A Lot,Enough,Moderately,Moderately,Exactly,Enough,Moderately,Moderately,Enough,Moderately
Nigeria,1976,Male,,CAH03-01	Biosciences,21,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Exactly,Exactly,Enough,Not At All,Exactly,Exactly,Exactly,Moderately,Moderately,Enough,Not At All,A Little,Exactly,Exactly,A Lot,Not At All
India,1998,Female,,CAH11-01	Computing,2.5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree a little,Diagree strongly,Disagree a little,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,A Very Little,Not At All,Moderately,Not At All,Not At All,Not At All,Moderately,Exactly,Not At All,Not At All
