ID,List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
1,126,1996,1,,18.0,5.0,"6,12",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,1.0,7.0,4.0,4.0,1.0,6.0,1.0,7.0,7.0,7.0,4.0,7.0,3.0,7.0,5.0,7.0,7.0,1.0,4.0,7.0,7.0,7.0,3.0
2,126,1996,1,,12.0,3.0,10,3.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,3.0,7.0,3.0,7.0,6.0,4.0,1.0,6.0,5.0,5.0,6.0,7.0,1.0,4.0,6.0,7.0,1.0,3.0,1.0,4.0,1.0,5.0,6.0,4.0,1.0
3,126,1990,2,,20.0,2.0,18,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,6.0,2.0,6.0,7.0,6.0,2.0,6.0,2.0,4.0,6.0,4.0,1.0,4.0,6.0,4.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,4.0,1.0
4,126,1991,1,,20.0,6.0,"10,14",4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,2.0,6.0,2.0,7.0,4.0,5.0,1.0,6.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,4.0,1.0
5,130,1998,1,,24.0,0.0,,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,6.0,1.0,7.0,1.0,5.0,2.0,7.0,1.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,126,1985,1,,15.0,11.0,"8,13,16",2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,7.0,1.0,6.0,5.0,1.0,1.0,7.0,1.0,6.0,7.0,6.0,6.0,5.0,6.0,4.0,1.0,6.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0
7,126,1985,1,,17.0,10.0,"3,10,16",3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,3.0,7.0,1.0,4.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
8,185,2001,2,,13.0,5.0,"11,17,19",4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0,7.0,7.0,6.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,4.0,4.0,5.0,4.0
9,126,1976,1,,6.0,21.0,11,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,7.0,3.0,7.0,6.0,7.0,1.0,7.0,3.0,7.0,7.0,5.0,1.0,7.0,7.0,7.0,4.0,4.0,5.0,1.0,3.0,7.0,7.0,6.0,1.0
10,78,1998,2,,17.0,2.5,13,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,6.0,1.0,7.0,5.0,6.0,2.0,5.0,1.0,3.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0
