Q12,Q14,Q10,Q16,Unnamed: 9,Unnamed: 10,Student Activity by Day in hours,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Avg course & student time &logins,Unnamed: 19,Unnamed: 20,Unnamed: 21,Student Activity by Item in the Course total time spent in hours,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Number of Times Accessed,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Initial Access Date/Time,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,What is your first degree subject area?,Student ID,Date Range- Week 1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Student Time in Course,Avg Time Per User,Total items:,Total Logins,Assignments,Learning Materials,Module Information (Handbook(,Reading List,Week 1,week 2,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,week 2,Assignments,Learning Materials,Module Information (Handbook),Reading List,Week 1,week 2,
Nigeria,1996,Male,"CAH13-01	Architecture, building and planning",1,03/10/22 - 09/10/22,0,0.005278333333333333,0.014721666666666666,0,0,0,0.023611666666666663,00:02:37,01:19:38,2,4,0,0.007221666666666667,0,0,0.01638833333333333,0,0,3,0,0,2,0,,2022-10-04 15:45:00.718000,,,2022-10-04 15:45:03.544000,,
Nigeria,1996,Male,CAH07-02	Chemistry,2,03/10/22 - 09/10/22,0,3.1175,0,0,0,0,0,03:07:03,01:19:38,3,3,0,0.004166666666666667,1.7733333333333334,0,1.330555,0,0,3,2,0,2,0,,2022-10-04 15:48:30.421000,2022-10-04 14:02:11.582000,,2022-10-04 15:48:38.726000,,
Nigeria,1990,Female,CAH15-02	Economics,3,03/10/22 - 09/10/22,0.01972166666666667,1.7108333333333334,0,0,0,0,0,01:43:50,01:19:38,6,9,0,0.007778333333333333,0.000555,0.033055,1.6280549999999998,0,0,5,2,2,4,0,,2022-10-04 14:05:35.288000,2022-10-03 21:49:58.608000,2022-10-04 14:01:58.086000,2022-10-04 14:05:37.424000,,
Nigeria,1991,Male,CAH15-02	Economics,4,03/10/22 - 09/10/22,0.0016666666666666668,0.018055,0,0,0,0,0,00:01:11,01:19:38,2,4,0,0.0019433333333333336,0,0,0,0,0,2,0,0,2,0,,2022-10-03 11:15:47.910000,,,2022-10-03 11:15:50.346000,,
Pakistan,1998,Male,CAH17-01	Business and management,5,03/10/22 - 09/10/22,0,2.2322216666666668,0.05277833333333334,0,0,0,0,02:17:06,01:19:38,3,5,0,0.0022233333333333332,0.0016666666666666668,0,2.2416666666666667,0,0,2,2,0,2,0,,2022-10-04 15:49:31.924000,2022-10-05 17:49:47.691000,,2022-10-04 15:49:38.697000,,
Nigeria,1985,Male,CAH10-01	Engineering,6,03/10/22 - 09/10/22,0,5.439445,0,0,0,0,0,05:26:22,01:19:38,4,4,0,0.001945,0.0008333333333333334,0,4.526666666666667,0,2,1,0,0,2,2,,2022-10-04 12:27:00.446000,2022-10-04 11:39:42.832000,,2022-10-04 12:27:03.171000,,
Nigeria,1985,Male,CAH11-01	Computing,7,03/10/22 - 09/10/22,0,1.5497216666666667,0.011666666666666665,0,0,0,0,01:33:41,01:19:38,4,6,0,0.0036116666666666667,0.004166666666666667,0,0.5002783333333334,0,0,2,1,0,2,0,,2022-10-04 15:05:07.261000,2022-10-04 15:32:40.566000,,2022-10-04 15:05:10.582000,,
United Kingdom of Great Britain and Northern Ireland,2001,Female,"CAH07-04	General, applied and forensic sciences",8,03/10/22 - 09/10/22,0.08833333333333333,2.0413883333333334,0.1875,0,0,0,0,02:19:02,01:19:38,4,10,0,0.003055,0,0.006111666666666666,0.87,0,0,6,0,1,5,0,,2022-10-04 09:45:51.107000,,2022-10-04 11:21:55.518000,2022-10-04 09:45:52.993000,,2022-10-04 09:45:52.993
Nigeria,1976,Male,CAH03-01	Biosciences,9,03/10/22 - 09/10/22,0,0.0036116666666666667,0,0,0,0,0,00:00:13,01:19:38,2,2,0,0.0016666666666666668,0,0,0,0,0,1,0,0,1,0,,2022-10-04 15:57:44.779000,,,2022-10-04 15:57:50.387000,,
India,1998,Female,CAH11-01	Computing,10,03/10/22 - 09/10/22,2.2272233333333333,0.001945,0,0,0,0,0,02:13:45,01:19:38,4,6,0,0.0008333333333333334,0,2.1897216666666663,0,0,0,1,0,4,1,0,,2022-10-04 15:53:32.716000,,2022-10-03 13:42:42.702000,2022-10-04 15:53:35.542000,,
Nigeria,1996,Female,CAH07-02	Chemistry,11,03/10/22 - 09/10/22,0,2.1083333333333334,0,0,0,0,0,02:06:30,01:19:38,3,3,0,0.005833333333333333,0,0,1.9091666666666667,0,0,3,0,0,1,0,,2022-10-04 15:11:39.609000,,,2022-10-04 15:11:44.216000,,
