 Q1 Q12 Q14 Q10 Q10_4_TEXT Q16 Q17 Q18 Q14.1 Q17_1 Q17_2 Q17_3 Q17_4 Q17_5 Q17_6 Q17_7 Q17_8 Q17_9 Q17_10 Q17_11 Q1_1 Q1_2 Q1_3 Q1_4 Q1_5 Q1_6 Q1_7 Q1_8 Q1_9 Q1_10 Q7_1 Q7_2 Q7_3 Q7_4 Q7_5 Q7_6 Q7_7 Q7_8 Q7_9 Q7_10 Q7_11 Q7_12 Q7_13 Q7_14 Q7_15 Q7_16
0 "Performance Analytics in Data Science Teams 



Thank you in advance for taking the time to read this information and considering your participation in this study.

Please ensure that you have read and understood the information contained in the Participant Information Sheet and asked any questions before you sign this form. If you have any questions please contact a member of the research team, whose details are set out on the Participant Information Sheet.

Please confirm


	
		
			
			
				
				I have read and understood the information in the Participant Information Sheet 
				
			
			
		
		
			
			
				
				I am aware of what my participation will involve and the data collected will remain confidential and no information that identifies me will be made publicly available.
				
			
			
		
		
			
			
				
				I understand that my participation is voluntary, is not connected to my assessment and that I am free to withdraw from the study at any time, without having to give a reason and without consequences;" "List of Countries" "What is your year of birth (Just the year, e.g. 1995) ?" "How do you describe yourself? - Selected Choice" "How do you describe yourself? - Prefer to self-describe - Text" "What is your first degree subject area?" "How many years work experience do you have?" "What sectors have you worked in?" "Previous experiences of team working in study and work" "Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team" "Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective" "Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent" "Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally" "Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks" "Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on" "Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project" "Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project" "Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along" "Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan" "Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of" "I see myself as... - Extraverted, enthusiastic" "I see myself as... - Critical, quarrelsome" "I see myself as... - Dependable, self-disciplined" "I see myself as... - Anxious, easily upset" "I see myself as... - Open to a new experiences, complex" "I see myself as... - Reserved, quiet" "I see myself as... - Sympathetic, warm" "I see myself as... - Disorganised, careless" "I see myself as... - Calm, emotionally stable" "I see myself as... - Conventional, uncreative" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant" "Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me" "Why are you doing this module? 
