student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,i_will_enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,my_team_will_bond_personally_as_well_as_professionally,we_will_collaborate_together_on_the_same_tasks,work_on_separate_tasks_and_link_them_together_later_on,develop_my_professional_skills_as_a_result_of_the_team_project,develop_my_team_working_skills_and_collaboration,we_will_adjust_the_project_regularly_as_we_go_along,we_will_stick_to_our_original_project_plan,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,because_i_think_that_this_module_is_interesting,because_i_am_doing_it_for_my_own_good,because_i_am_supposed_to_do_it,personally_i_don’t_see_any_good_reasons_in_the_module,because_i_think_that_this_module_is_pleasant,because_i_think_that_this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,because_i_don’t_have_any_choice,i_don’t_see_what_this_module_brings_me,feel_good_about_this_module,because_i_feel_that_i_have_to_do_it,it_is_a_good_thing_to_pursue_it,not_sure_it_is_a_good_thing_to_pursue_it
1,126,1996,1,,18.0,5.0,"6,12",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,1.0,7.0,4.0,4.0,1.0,6.0,1.0,7.0,7.0,7.0,4.0,7.0,3.0,7.0,5.0,7.0,7.0,1.0,4.0,7.0,7.0,7.0,3.0
2,126,1996,1,,12.0,3.0,10,3.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,3.0,7.0,3.0,7.0,6.0,4.0,1.0,6.0,5.0,5.0,6.0,7.0,1.0,4.0,6.0,7.0,1.0,3.0,1.0,4.0,1.0,5.0,6.0,4.0,1.0
3,126,1990,2,,20.0,2.0,18,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,1.0,6.0,2.0,6.0,7.0,6.0,2.0,6.0,2.0,4.0,6.0,4.0,1.0,4.0,6.0,4.0,1.0,4.0,6.0,1.0,1.0,4.0,6.0,4.0,1.0
4,126,1991,1,,20.0,6.0,"10,14",4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,2.0,6.0,2.0,7.0,4.0,5.0,1.0,6.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,4.0,1.0
5,130,1998,1,,24.0,0.0,,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,6.0,1.0,7.0,1.0,5.0,2.0,7.0,1.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,126,1985,1,,15.0,11.0,"8,13,16",2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,7.0,1.0,6.0,5.0,1.0,1.0,7.0,1.0,6.0,7.0,6.0,6.0,5.0,6.0,4.0,1.0,6.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0
7,126,1985,1,,17.0,10.0,"3,10,16",3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,3.0,7.0,1.0,4.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
8,185,2001,2,,13.0,5.0,"11,17,19",4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0,7.0,7.0,6.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,4.0,4.0,5.0,4.0
9,126,1976,1,,6.0,21.0,11,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,7.0,3.0,7.0,6.0,7.0,1.0,7.0,3.0,7.0,7.0,5.0,1.0,7.0,7.0,7.0,4.0,4.0,5.0,1.0,3.0,7.0,7.0,6.0,1.0
10,78,1998,2,,17.0,2.5,13,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,6.0,1.0,7.0,5.0,6.0,2.0,5.0,1.0,3.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0
