student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,bond_perosnally_with_my_team_members,we_will_collaborate_together_on_the_same_tasks,work_separately_and_link_up_our_work_later,develop_my_professional_skills,develop_my_team_working_skills,adjust_the_project_regularly,we_will_stick_to_our_original_project,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,this_module_is_interesting,for_my_own_good,because_i_am_supposed_to_do_it,i_don’t_see_any_good_reasons_in_the_module,this_module_is_pleasant,this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,i_am_not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,don’t_have_any_choice,don’t_see_what_this_module_brings_me,because_i_feel_good_about_this_module,module_is_important_for_me,i_feel_that_i_have_to_do_it,i_am_not_sure_it_is_a_good_thing_to_pursue_it
1,Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
2,Nigeria,1996,Male,,CAH07-02	Chemistry,3,INFORMATION AND COMMUNICATION,I have extensive experience of teamworking,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Diagree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Diagree strongly,Agree moderately,Agree a little,Enough,A Lot,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,A Little,Not At All,Moderately,Not At All,Enough,A Lot,Moderately,Not At All
3,Nigeria,1990,Female,,CAH15-02	Economics,2,"ARTS, ENTERTAINMENT AND RECREATION",I have some experience,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree moderately,Diagree strongly,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Moderately,A Lot,Moderately,Not At All,Moderately,A Lot,Moderately,Not At All,Moderately,A Lot,Not At All,Not At All,Moderately,A Lot,Moderately,Not At All
4,Nigeria,1991,Male,,CAH15-02	Economics,6,"INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
5,Pakistan,1998,Male,,CAH17-01	Business and management,0,,I have some experience,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree a little,Disagree moderately,Agree strongly,Diagree strongly,Moderately,Enough,Moderately,A Very Little,Enough,Enough,A Very Little,A Little,Enough,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
6,Nigeria,1985,Male,,CAH10-01	Engineering,11,"TRANSPORTATION AND STORAGE,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,A Lot,Exactly,A Lot,A Lot,Enough,A Lot,Moderately,Not At All,A Lot,Enough,A Very Little,Not At All,Enough,Enough,Moderately,Moderately
7,Nigeria,1985,Male,,CAH11-01	Computing,10,"MANUFACTURING,INFORMATION AND COMMUNICATION,EDUCATION",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
8,United Kingdom of Great Britain and Northern Ireland,2001,Female,,"CAH07-04	General, applied and forensic sciences",5,"FINANCIAL AND INSURANCE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree a little,Agree strongly,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Diagree strongly,Diagree strongly,Agree a little,Enough,Enough,Exactly,A Little,Enough,Enough,A Lot,Enough,Moderately,Moderately,Exactly,Enough,Moderately,Moderately,Enough,Moderately
9,Nigeria,1976,Male,,CAH03-01	Biosciences,21,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Disagree a little,Exactly,Exactly,Enough,Not At All,Exactly,Exactly,Exactly,Moderately,Moderately,Enough,Not At All,A Little,Exactly,Exactly,A Lot,Not At All
10,India,1998,Female,,CAH11-01	Computing,2.5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree a little,Diagree strongly,Disagree a little,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,A Very Little,Not At All,Moderately,Not At All,Not At All,Not At All,Moderately,Exactly,Not At All,Not At All
11,Nigeria,1996,Female,,CAH07-02	Chemistry,3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Disagree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
