total_marks,list_of_countries,what_is_your_year_of_birth_just_the_year,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,student_id,date_range,monday,tuesday,wednesday,thursday,friday,saturday,sunday,student_time_in_course,avg_time_per_user,total_items,total_logins,std_act_assignments,std_act_learning_materials,std_act_module_information_handbook,std_act_reading_list,std_act_week1,std_act_week2,no_of_times_accessed_assignments,no_of_times_accessed_learning_materials,no_of_times_accessed_module_information_handbook,no_of_times_accessed_reading_list,no_of_times_week1,no_of_times_week2,initial_access_assignments,initial_access_learning_materials,initial_access_information_handbook,initial_access_reading_list,initial_access_week1,initial_access_week2,main_week,std_act_week3,no_of_times_week3,initial_access_week3,std_act_df5,no_of_times_week4,initial_access_week4,std_act_week4,std_act_week5,std_act_week6,std_act_week7,no_of_times_week5,no_of_times_week6,no_of_times_week7,initial_access_week5,initial_access_week6,initial_access_week7,std_act_week8,no_of_times_week8,initial_access_week8,std_act_week9,no_of_times_week9,initial_access_week9,std_act_week10,no_of_times_week10,initial_access_week10,std_act_week_11_feedback,no_of_times_week11_feedback,initial_access_week11_feedback
60.0,Nigeria,1996,Male,"CAH13-01	Architecture, building and planning",1,03/10/22 - 09/10/22,0.0,0.005278333333333333,0.014721666666666666,0.0,0.0,0.0,0.023611666666666663,00:02:37,01:19:38,2,4,0.0,0.007221666666666667,0.0,0.0,0.01638833333333333,0.0,0,3,0,0,2,0,NA,2022-10-04 15:45:00.718000,NA,NA,2022-10-04 15:45:03.544000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70.0,Nigeria,1996,Male,CAH07-02	Chemistry,2,03/10/22 - 09/10/22,0.0,3.1175,0.0,0.0,0.0,0.0,0.0,03:07:03,01:19:38,3,3,0.0,0.004166666666666667,1.7733333333333334,0.0,1.330555,0.0,0,3,2,0,2,0,NA,2022-10-04 15:48:30.421000,2022-10-04 14:02:11.582000,NA,2022-10-04 15:48:38.726000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65.0,Nigeria,1990,Female,CAH15-02	Economics,3,03/10/22 - 09/10/22,0.01972166666666667,1.7108333333333334,0.0,0.0,0.0,0.0,0.0,01:43:50,01:19:38,6,9,0.0,0.007778333333333333,0.000555,0.033055,1.6280549999999998,0.0,0,5,2,2,4,0,NA,2022-10-04 14:05:35.288000,2022-10-03 21:49:58.608000,2022-10-04 14:01:58.086000,2022-10-04 14:05:37.424000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55.0,Nigeria,1991,Male,CAH15-02	Economics,4,03/10/22 - 09/10/22,0.0016666666666666668,0.018055,0.0,0.0,0.0,0.0,0.0,00:01:11,01:19:38,2,4,0.0,0.0019433333333333336,0.0,0.0,0.0,0.0,0,2,0,0,2,0,NA,2022-10-03 11:15:47.910000,NA,NA,2022-10-03 11:15:50.346000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65.0,Pakistan,1998,Male,CAH17-01	Business and management,5,03/10/22 - 09/10/22,0.0,2.2322216666666668,0.05277833333333334,0.0,0.0,0.0,0.0,02:17:06,01:19:38,3,5,0.0,0.0022233333333333332,0.0016666666666666668,0.0,2.2416666666666667,0.0,0,2,2,0,2,0,NA,2022-10-04 15:49:31.924000,2022-10-05 17:49:47.691000,NA,2022-10-04 15:49:38.697000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,Nigeria,1985,Male,CAH10-01	Engineering,6,03/10/22 - 09/10/22,0.0,5.439445,0.0,0.0,0.0,0.0,0.0,05:26:22,01:19:38,4,4,0.0,0.001945,0.0008333333333333334,0.0,4.526666666666667,0.0,2,1,0,0,2,2,NA,2022-10-04 12:27:00.446000,2022-10-04 11:39:42.832000,NA,2022-10-04 12:27:03.171000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61.0,Nigeria,1985,Male,CAH11-01	Computing,7,03/10/22 - 09/10/22,0.0,1.5497216666666667,0.011666666666666665,0.0,0.0,0.0,0.0,01:33:41,01:19:38,4,6,0.0,0.0036116666666666667,0.004166666666666667,0.0,0.5002783333333334,0.0,0,2,1,0,2,0,NA,2022-10-04 15:05:07.261000,2022-10-04 15:32:40.566000,NA,2022-10-04 15:05:10.582000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77.0,United Kingdom of Great Britain and Northern Ireland,2001,Female,"CAH07-04	General, applied and forensic sciences",8,03/10/22 - 09/10/22,0.08833333333333333,2.0413883333333334,0.1875,0.0,0.0,0.0,0.0,02:19:02,01:19:38,4,10,0.0,0.003055,0.0,0.006111666666666666,0.87,0.0,0,6,0,1,5,0,NA,2022-10-04 09:45:51.107000,NA,2022-10-04 11:21:55.518000,2022-10-04 09:45:52.993000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61.0,Nigeria,1976,Male,CAH03-01	Biosciences,9,03/10/22 - 09/10/22,0.0,0.0036116666666666667,0.0,0.0,0.0,0.0,0.0,00:00:13,01:19:38,2,2,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0,1,0,0,1,0,NA,2022-10-04 15:57:44.779000,NA,NA,2022-10-04 15:57:50.387000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.0,India,1998,Female,CAH11-01	Computing,10,03/10/22 - 09/10/22,2.2272233333333333,0.001945,0.0,0.0,0.0,0.0,0.0,02:13:45,01:19:38,4,6,0.0,0.0008333333333333334,0.0,2.1897216666666663,0.0,0.0,0,1,0,4,1,0,NA,2022-10-04 15:53:32.716000,NA,2022-10-03 13:42:42.702000,2022-10-04 15:53:35.542000,NA,week_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
