student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
1,56.0,United Kingdom of Great Britain and Northern Ireland,1999.0,Female,CAH11-01	Computing,
2,48.0,Nigeria,1992.0,Male,CAH11-01	Computing,
3,62.0,Nigeria,1987.0,Male,CAH11-01	Computing,
4,63.0,Nigeria,1993.0,Male,"CAH24-01	Media, journalism and communications",
5,64.0,Pakistan,1996.0,Male,CAH11-01	Computing,
6,57.0,Pakistan,1996.0,Male,CAH11-01	Computing,
7,72.0,Nigeria,1993.0,Male,CAH07-01	Physics and astronomy,
8,68.0,Ghana,1992.0,Male,CAH11-01	Computing,
9,70.0,Ghana,1992.0,Male,"CAH06-01	Agriculture, food and related studies",
10,72.0,Nigeria,1994.0,Male,CAH03-01	Biosciences,
11,75.0,Nigeria,1991.0,Female,CAH07-02	Chemistry,
12,55.0,Ghana,1987.0,Male,CAH15-03	Politics,
13,60.0,Nigeria,1995.0,Male,CAH11-01	Computing,
14,68.0,Nigeria,1995.0,Male,CAH10-01	Engineering,
15,68.0,Nigeria,1996.0,Female,CAH11-01	Computing,
16,50.0,Bangladesh,1993.0,Male,CAH11-01	Computing,
17,65.0,Hong Kong (S.A.R.),1998.0,Male,CAH11-01	Computing,
18,58.0,Bangladesh,1993.0,Male,CAH11-01	Computing,
19,63.0,Pakistan,1997.0,Female,CAH11-01	Computing,
20,64.0,Nigeria,1997.0,Prefer not to say,"CAH24-01	Media, journalism and communications",
21,52.0,Spain,1995.0,Male,CAH11-01	Computing,
22,42.0,India,1996.0,Female,"CAH07-04	General, applied and forensic sciences",
23,54.0,Nigeria,1987.0,Male,CAH11-01	Computing,
24,46.0,India,2000.0,Female,CAH11-01	Computing,
25,64.0,Bangladesh,1994.0,Male,CAH11-01	Computing,
26,57.0,Pakistan,1995.0,Male,CAH11-01	Computing,
27,67.0,Pakistan,1995.0,Female,CAH11-01	Computing,
28,70.0,Kenya,1991.0,Male,CAH11-01	Computing,
29,70.0,United Kingdom of Great Britain and Northern Ireland,1981.0,Male,CAH15-02	Economics,
30,66.0,Nigeria,1981.0,Male,CAH20-02	Philosophy and religious studies,
31,57.0,Nigeria,1992.0,Male,CAH15-03	Politics,
32,60.0,Nigeria,1994.0,Male,CAH11-01	Computing,
33,51.0,Nigeria,1989.0,Male,"CAH13-01	Architecture, building and planning",
34,65.0,Nigeria,1991.0,Male,CAH11-01	Computing,
35,52.0,Nigeria,1981.0,Male,CAH10-01	Engineering,
36,53.0,Sri Lanka,1994.0,Male,CAH11-01	Computing,
37,51.0,India,1986.0,Female,CAH11-01	Computing,
38,47.0,India,1992.0,Female,CAH11-01	Computing,
39,54.0,India,1992.0,Female,CAH11-01	Computing,
40,57.0,Sri Lanka,1996.0,Female,CAH11-01	Computing,
41,52.0,Sri Lanka,1997.0,Male,CAH11-01	Computing,
42,54.0,United States of America,1996.0,Male,"CAH24-01	Media, journalism and communications",
43,55.0,Nigeria,1991.0,Male,CAH10-01	Engineering,
44,77.0,Belize,1986.0,Female,CAH11-01	Computing,
45,62.0,Sri Lanka,1989.0,Male,CAH11-01	Computing,
46,73.0,Sri Lanka,1992.0,Female,CAH11-01	Computing,
47,70.0,Ghana,1999.0,Male,CAH10-01	Engineering,
48,60.0,Nigeria,1989.0,Male,CAH10-01	Engineering,
49,60.0,Saudi Arabia,1995.0,Female,CAH11-01	Computing,
50,72.0,Sri Lanka,1988.0,Female,CAH11-01	Computing,
51,75.0,Sri Lanka,1994.0,Male,CAH10-01	Engineering,
52,60.0,Nepal,1997.0,Male,CAH10-03	Materials and technology,
53,70.0,Nigeria,1991.0,Female,"CAH24-01	Media, journalism and communications",
54,60.0,Nigeria,1992.0,Male,CAH11-01	Computing,
55,55.0,India,1992.0,Female,CAH11-01	Computing,
56,73.0,United Kingdom of Great Britain and Northern Ireland,1985.0,Male,CAH11-01	Computing,
57,72.0,Nigeria,1987.0,Female,CAH11-01	Computing,
58,45.0,India,1998.0,Male,CAH11-01	Computing,
59,73.0,Nigeria,1994.0,Male,CAH15-02	Economics,
60,76.0,Sri Lanka,1998.0,Male,CAH11-01	Computing,
61,77.0,Sudan,1994.0,Female,CAH25-01	Creative arts and design,
62,60.0,India,2001.0,Female,CAH11-01	Computing,
63,67.0,Ghana,1993.0,Male,CAH11-01	Computing,
64,58.0,Nepal,1998.0,Male,CAH10-03	Materials and technology,
65,63.0,Nigeria,1982.0,Female,CAH22-01	Education and teaching,
66,58.0,Nigeria,1980.0,Male,CAH10-01	Engineering,
67,60.0,Nigeria,1986.0,Male,CAH11-01	Computing,
68,61.0,Sri Lanka,1989.0,Male,CAH11-01	Computing,
69,66.0,Ghana,1989.0,Male,CAH11-01	Computing,
70,72.0,Sri Lanka,1995.0,Female,CAH11-01	Computing,
71,64.0,Sri Lanka,1990.0,Male,CAH11-01	Computing,
72,62.0,India,1998.0,Female,CAH10-01	Engineering,
73,55.0,Pakistan,1996.0,Male,CAH11-01	Computing,
74,63.0,Indonesia,1998.0,Male,CAH11-01	Computing,
75,61.0,Sri Lanka,1992.0,Female,CAH11-01	Computing,
76,58.0,Sri Lanka,1993.0,Male,CAH11-01	Computing,
77,65.0,India,2002.0,Female,CAH10-01	Engineering,
78,35.0,Nigeria,1989.0,Male,CAH11-01	Computing,
79,60.0,Sri Lanka,1997.0,Male,CAH10-01	Engineering,
80,55.0,Pakistan,1998.0,Male,CAH11-01	Computing,
81,53.0,Pakistan,1989.0,Male,CAH11-01	Computing,
82,58.0,Bangladesh,1998.0,Male,CAH11-01	Computing,
83,61.0,Bangladesh,1997.0,Male,CAH10-01	Engineering,
84,57.0,India,1991.0,Female,CAH11-01	Computing,
85,68.0,Sri Lanka,1984.0,Female,CAH11-01	Computing,
86,68.0,Sri Lanka,1995.0,Male,CAH11-01	Computing,
87,70.0,Nigeria,1996.0,Female,CAH02-05	Medical sciences,
88,68.0,Sri Lanka,1986.0,Female,CAH11-01	Computing,
89,58.0,Afghanistan,1996.0,Male,CAH11-01	Computing,
90,53.0,India,1998.0,Female,CAH11-01	Computing,
91,51.0,Bangladesh,1992.0,Male,CAH11-01	Computing,
92,77.0,Sri Lanka,1996.0,Female,CAH11-01	Computing,
92,58.0,India,1989.0,Female,CAH11-01	Computing,
94,58.0,India,1994.0,Female,CAH11-01	Computing,
95,76.0,India,2000.0,Female,CAH11-01	Computing,
96,70.0,Nigeria,1987.0,Female,CAH11-01	Computing,
97,62.0,India,1992.0,Female,CAH11-01	Computing,
98,72.0,Nigeria,1984.0,Male,CAH07-01	Physics and astronomy,
99,60.0,Nigeria,1979.0,Female,CAH09-01	Mathematical sciences,
100,71.0,Nigeria,1991.0,Male,CAH10-01	Engineering,
101,64.0,Nigeria,1990.0,Male,CAH22-01	Education and teaching,
102,71.0,India,2001.0,Male,CAH11-01	Computing,
103,60.0,India,2001.0,Male,CAH11-01	Computing,
104,65.0,Pakistan,1996.0,Male,CAH11-01	Computing,
105,60.0,Bangladesh,1998.0,Male,CAH10-01	Engineering,
