student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area
213,56,United Kingdom of Great Britain and Northern Ireland,1999,Female,CAH11-01	Computing
214,48,Nigeria,1992,Male,CAH11-01	Computing
215,62,Nigeria,1987,Male,CAH11-01	Computing
216,63,Nigeria,1993,Male,"CAH24-01	Media, journalism and communications"
217,64,Pakistan,1996,Male,CAH11-01	Computing
218,57,Pakistan,1996,Male,CAH11-01	Computing
219,72,Nigeria,1993,Male,CAH07-01	Physics and astronomy
220,68,Ghana,1992,Male,CAH11-01	Computing
221,70,Ghana,1992,Male,"CAH06-01	Agriculture, food and related studies"
222,72,Nigeria,1994,Male,CAH03-01	Biosciences
223,75,Nigeria,1991,Female,CAH07-02	Chemistry
224,55,Ghana,1987,Male,CAH15-03	Politics
225,60,Nigeria,1995,Male,CAH11-01	Computing
226,68,Nigeria,1995,Male,CAH10-01	Engineering
227,68,Nigeria,1996,Female,CAH11-01	Computing
228,50,Bangladesh,1993,Male,CAH11-01	Computing
229,65,Hong Kong (S.A.R.),1998,Male,CAH11-01	Computing
230,58,Bangladesh,1993,Male,CAH11-01	Computing
231,63,Pakistan,1997,Female,CAH11-01	Computing
232,64,Nigeria,1997,Prefer not to say,"CAH24-01	Media, journalism and communications"
233,52,Spain,1995,Male,CAH11-01	Computing
234,42,India,1996,Female,"CAH07-04	General, applied and forensic sciences"
235,54,Nigeria,1987,Male,CAH11-01	Computing
236,46,India,2000,Female,CAH11-01	Computing
237,64,Bangladesh,1994,Male,CAH11-01	Computing
238,57,Pakistan,1995,Male,CAH11-01	Computing
239,67,Pakistan,1995,Female,CAH11-01	Computing
240,70,Kenya,1991,Male,CAH11-01	Computing
241,70,United Kingdom of Great Britain and Northern Ireland,1981,Male,CAH15-02	Economics
242,66,Nigeria,1981,Male,CAH20-02	Philosophy and religious studies
243,57,Nigeria,1992,Male,CAH15-03	Politics
244,60,Nigeria,1994,Male,CAH11-01	Computing
245,51,Nigeria,1989,Male,"CAH13-01	Architecture, building and planning"
246,65,Nigeria,1991,Male,CAH11-01	Computing
247,52,Nigeria,1981,Male,CAH10-01	Engineering
248,53,Sri Lanka,1994,Male,CAH11-01	Computing
249,51,India,1986,Female,CAH11-01	Computing
250,47,India,1992,Female,CAH11-01	Computing
251,54,India,1992,Female,CAH11-01	Computing
252,57,Sri Lanka,1996,Female,CAH11-01	Computing
253,52,Sri Lanka,1997,Male,CAH11-01	Computing
254,54,United States of America,1996,Male,"CAH24-01	Media, journalism and communications"
255,55,Nigeria,1991,Male,CAH10-01	Engineering
256,77,Belize,1986,Female,CAH11-01	Computing
257,62,Sri Lanka,1989,Male,CAH11-01	Computing
258,73,Sri Lanka,1992,Female,CAH11-01	Computing
259,70,Ghana,1999,Male,CAH10-01	Engineering
260,60,Nigeria,1989,Male,CAH10-01	Engineering
261,60,Saudi Arabia,1995,Female,CAH11-01	Computing
262,72,Sri Lanka,1988,Female,CAH11-01	Computing
263,75,Sri Lanka,1994,Male,CAH10-01	Engineering
264,60,Nepal,1997,Male,CAH10-03	Materials and technology
265,70,Nigeria,1991,Female,"CAH24-01	Media, journalism and communications"
266,60,Nigeria,1992,Male,CAH11-01	Computing
267,55,India,1992,Female,CAH11-01	Computing
268,73,United Kingdom of Great Britain and Northern Ireland,1985,Male,CAH11-01	Computing
269,72,Nigeria,1987,Female,CAH11-01	Computing
270,45,India,1998,Male,CAH11-01	Computing
271,73,Nigeria,1994,Male,CAH15-02	Economics
272,76,Sri Lanka,1998,Male,CAH11-01	Computing
273,77,Sudan,1994,Female,CAH25-01	Creative arts and design
274,60,India,2001,Female,CAH11-01	Computing
275,67,Ghana,1993,Male,CAH11-01	Computing
276,58,Nepal,1998,Male,CAH10-03	Materials and technology
277,63,Nigeria,1982,Female,CAH22-01	Education and teaching
278,58,Nigeria,1980,Male,CAH10-01	Engineering
279,60,Nigeria,1986,Male,CAH11-01	Computing
280,61,Sri Lanka,1989,Male,CAH11-01	Computing
281,66,Ghana,1989,Male,CAH11-01	Computing
282,72,Sri Lanka,1995,Female,CAH11-01	Computing
283,64,Sri Lanka,1990,Male,CAH11-01	Computing
284,62,India,1998,Female,CAH10-01	Engineering
285,55,Pakistan,1996,Male,CAH11-01	Computing
286,63,Indonesia,1998,Male,CAH11-01	Computing
287,61,Sri Lanka,1992,Female,CAH11-01	Computing
288,58,Sri Lanka,1993,Male,CAH11-01	Computing
289,65,India,2002,Female,CAH10-01	Engineering
290,35,Nigeria,1989,Male,CAH11-01	Computing
291,60,Sri Lanka,1997,Male,CAH10-01	Engineering
292,55,Pakistan,1998,Male,CAH11-01	Computing
293,53,Pakistan,1989,Male,CAH11-01	Computing
294,58,Bangladesh,1998,Male,CAH11-01	Computing
295,61,Bangladesh,1997,Male,CAH10-01	Engineering
296,57,India,1991,Female,CAH11-01	Computing
297,68,Sri Lanka,1984,Female,CAH11-01	Computing
298,68,Sri Lanka,1995,Male,CAH11-01	Computing
299,70,Nigeria,1996,Female,CAH02-05	Medical sciences
300,68,Sri Lanka,1986,Female,CAH11-01	Computing
301,58,Afghanistan,1996,Male,CAH11-01	Computing
302,53,India,1998,Female,CAH11-01	Computing
303,51,Bangladesh,1992,Male,CAH11-01	Computing
304,77,Sri Lanka,1996,Female,CAH11-01	Computing
305,70,Peru,1999,Female,CAH10-01	Engineering
306,58,Sri Lanka,1996,Female,CAH11-01	Computing
307,58,India,1994,Female,CAH11-01	Computing
308,76,India,2000,Female,CAH11-01	Computing
